domain,operation,time
calendar,count,all
calendar,count,today
calendar,count,today_morning
calendar,count,today_day
calendar,count,today_afternoon
calendar,count,today_evening
calendar,count,tomorrow_morning
calendar,count,7d
calendar,count,30d
calendar,count,3m
calendar,count,1y
calendar,list,all
calendar,list,today
calendar,list,today_morning
calendar,list,today_day
calendar,list,today_afternoon
calendar,list,today_evening
calendar,list,tomorrow_morning
calendar,list,7d
calendar,list,30d
calendar,list,3m
calendar,list,1y
calendar,exists,all
calendar,exists,today
calendar,exists,today_morning
calendar,exists,today_day
calendar,exists,today_afternoon
calendar,exists,today_evening
calendar,exists,tomorrow_morning
calendar,exists,7d
calendar,exists,30d
calendar,exists,3m
calendar,exists,1y
calendar,sum,all
calendar,sum,today
calendar,sum,today_morning
calendar,sum,today_day
calendar,sum,today_afternoon
calendar,sum,today_evening
calendar,sum,tomorrow_morning
calendar,sum,7d
calendar,sum,30d
calendar,sum,3m
calendar,sum,1y
calendar,latest,all
calendar,latest,today
calendar,latest,today_morning
calendar,latest,today_day
calendar,latest,today_afternoon
calendar,latest,today_evening
calendar,latest,tomorrow_morning
calendar,latest,7d
calendar,latest,30d
calendar,latest,3m
calendar,latest,1y
reminders,count,all
reminders,count,today
reminders,count,today_morning
reminders,count,today_day
reminders,count,today_afternoon
reminders,count,today_evening
reminders,count,tomorrow_morning
reminders,count,7d
reminders,count,30d
reminders,count,3m
reminders,count,1y
reminders,list,all
reminders,list,today
reminders,list,today_morning
reminders,list,today_day
reminders,list,today_afternoon
reminders,list,today_evening
reminders,list,tomorrow_morning
reminders,list,7d
reminders,list,30d
reminders,list,3m
reminders,list,1y
reminders,exists,all
reminders,exists,today
reminders,exists,today_morning
reminders,exists,today_day
reminders,exists,today_afternoon
reminders,exists,today_evening
reminders,exists,tomorrow_morning
reminders,exists,7d
reminders,exists,30d
reminders,exists,3m
reminders,exists,1y
reminders,sum,all
reminders,sum,today
reminders,sum,today_morning
reminders,sum,today_day
reminders,sum,today_afternoon
reminders,sum,today_evening
reminders,sum,tomorrow_morning
reminders,sum,7d
reminders,sum,30d
reminders,sum,3m
reminders,sum,1y
reminders,latest,all
reminders,latest,today
reminders,latest,today_morning
reminders,latest,today_day
reminders,latest,today_afternoon
reminders,latest,today_evening
reminders,latest,tomorrow_morning
reminders,latest,7d
reminders,latest,30d
reminders,latest,3m
reminders,latest,1y
mail,count,all
mail,count,today
mail,count,today_morning
mail,count,today_day
mail,count,today_afternoon
mail,count,today_evening
mail,count,tomorrow_morning
mail,count,7d
mail,count,30d
mail,count,3m
mail,count,1y
mail,list,all
mail,list,today
mail,list,today_morning
mail,list,today_day
mail,list,today_afternoon
mail,list,today_evening
mail,list,tomorrow_morning
mail,list,7d
mail,list,30d
mail,list,3m
mail,list,1y
mail,exists,all
mail,exists,today
mail,exists,today_morning
mail,exists,today_day
mail,exists,today_afternoon
mail,exists,today_evening
mail,exists,tomorrow_morning
mail,exists,7d
mail,exists,30d
mail,exists,3m
mail,exists,1y
mail,sum,all
mail,sum,today
mail,sum,today_morning
mail,sum,today_day
mail,sum,today_afternoon
mail,sum,today_evening
mail,sum,tomorrow_morning
mail,sum,7d
mail,sum,30d
mail,sum,3m
