domain,operation
calendar,count
calendar,list
calendar,exists
calendar,sum
calendar,latest
reminders,count
reminders,list
reminders,exists
reminders,sum
reminders,latest
mail,count
mail,list
mail,exists
mail,sum
mail,latest
notes,count
notes,list
notes,exists
notes,sum
notes,latest
files,count
files,list
files,exists
files,sum
files,latest
photos,count
photos,list
photos,exists
photos,sum
photos,latest
contacts,count
contacts,list
contacts,exists
contacts,sum
contacts,latest
location,count
location,list
location,exists
location,sum
location,latest
memory,count
memory,list
memory,exists
memory,sum
memory,latest
