domain,mode,operation,time_scope_type,time_scope_value
calendar,info,count,relative,today
calendar,info,count,relative,today_morning
calendar,info,count,relative,today_day
calendar,info,count,relative,today_afternoon
calendar,info,count,relative,today_evening
calendar,info,count,relative,tomorrow_morning
calendar,info,count,relative,7d
calendar,info,count,relative,30d
calendar,info,count,relative,3m
calendar,info,count,relative,1y
calendar,info,count,absolute,today
calendar,info,count,absolute,today_morning
calendar,info,count,absolute,today_day
calendar,info,count,absolute,today_afternoon
calendar,info,count,absolute,today_evening
calendar,info,count,absolute,tomorrow_morning
calendar,info,count,absolute,7d
calendar,info,count,absolute,30d
calendar,info,count,absolute,3m
calendar,info,count,absolute,1y
calendar,info,count,all,today
calendar,info,count,all,today_morning
calendar,info,count,all,today_day
calendar,info,count,all,today_afternoon
calendar,info,count,all,today_evening
calendar,info,count,all,tomorrow_morning
calendar,info,count,all,7d
calendar,info,count,all,30d
calendar,info,count,all,3m
calendar,info,count,all,1y
calendar,info,list,relative,today
calendar,info,list,relative,today_morning
calendar,info,list,relative,today_day
calendar,info,list,relative,today_afternoon
calendar,info,list,relative,today_evening
calendar,info,list,relative,tomorrow_morning
calendar,info,list,relative,7d
calendar,info,list,relative,30d
calendar,info,list,relative,3m
calendar,info,list,relative,1y
calendar,info,list,absolute,today
calendar,info,list,absolute,today_morning
calendar,info,list,absolute,today_day
calendar,info,list,absolute,today_afternoon
calendar,info,list,absolute,today_evening
calendar,info,list,absolute,tomorrow_morning
calendar,info,list,absolute,7d
calendar,info,list,absolute,30d
calendar,info,list,absolute,3m
calendar,info,list,absolute,1y
calendar,info,list,all,today
calendar,info,list,all,today_morning
calendar,info,list,all,today_day
calendar,info,list,all,today_afternoon
calendar,info,list,all,today_evening
calendar,info,list,all,tomorrow_morning
calendar,info,list,all,7d
calendar,info,list,all,30d
calendar,info,list,all,3m
calendar,info,list,all,1y
calendar,info,exists,relative,today
calendar,info,exists,relative,today_morning
calendar,info,exists,relative,today_day
calendar,info,exists,relative,today_afternoon
calendar,info,exists,relative,today_evening
calendar,info,exists,relative,tomorrow_morning
calendar,info,exists,relative,7d
calendar,info,exists,relative,30d
calendar,info,exists,relative,3m
calendar,info,exists,relative,1y
calendar,info,exists,absolute,today
calendar,info,exists,absolute,today_morning
calendar,info,exists,absolute,today_day
calendar,info,exists,absolute,today_afternoon
calendar,info,exists,absolute,today_evening
calendar,info,exists,absolute,tomorrow_morning
calendar,info,exists,absolute,7d
calendar,info,exists,absolute,30d
calendar,info,exists,absolute,3m
calendar,info,exists,absolute,1y
calendar,info,exists,all,today
calendar,info,exists,all,today_morning
calendar,info,exists,all,today_day
calendar,info,exists,all,today_afternoon
calendar,info,exists,all,today_evening
calendar,info,exists,all,tomorrow_morning
calendar,info,exists,all,7d
calendar,info,exists,all,30d
calendar,info,exists,all,3m
calendar,info,exists,all,1y
calendar,info,sum,relative,today
calendar,info,sum,relative,today_morning
calendar,info,sum,relative,today_day
calendar,info,sum,relative,today_afternoon
calendar,info,sum,relative,today_evening
calendar,info,sum,relative,tomorrow_morning
calendar,info,sum,relative,7d
calendar,info,sum,relative,30d
calendar,info,sum,relative,3m
calendar,info,sum,relative,1y
calendar,info,sum,absolute,today
calendar,info,sum,absolute,today_morning
calendar,info,sum,absolute,today_day
calendar,info,sum,absolute,today_afternoon
calendar,info,sum,absolute,today_evening
calendar,info,sum,absolute,tomorrow_morning
calendar,info,sum,absolute,7d
calendar,info,sum,absolute,30d
calendar,info,sum,absolute,3m
calendar,info,sum,absolute,1y
calendar,info,sum,all,today
calendar,info,sum,all,today_morning
calendar,info,sum,all,today_day
calendar,info,sum,all,today_afternoon
calendar,info,sum,all,today_evening
calendar,info,sum,all,tomorrow_morning
calendar,info,sum,all,7d
calendar,info,sum,all,30d
calendar,info,sum,all,3m
calendar,info,sum,all,1y
calendar,info,latest,relative,today
calendar,info,latest,relative,today_morning
calendar,info,latest,relative,today_day
calendar,info,latest,relative,today_afternoon
calendar,info,latest,relative,today_evening
calendar,info,latest,relative,tomorrow_morning
calendar,info,latest,relative,7d
calendar,info,latest,relative,30d
calendar,info,latest,relative,3m
calendar,info,latest,relative,1y
calendar,info,latest,absolute,today
calendar,info,latest,absolute,today_morning
calendar,info,latest,absolute,today_day
calendar,info,latest,absolute,today_afternoon
calendar,info,latest,absolute,today_evening
calendar,info,latest,absolute,tomorrow_morning
calendar,info,latest,absolute,7d
calendar,info,latest,absolute,30d
calendar,info,latest,absolute,3m
calendar,info,latest,absolute,1y
calendar,info,latest,all,today
calendar,info,latest,all,today_morning
calendar,info,latest,all,today_day
calendar,info,latest,all,today_afternoon
calendar,info,latest,all,today_evening
calendar,info,latest,all,tomorrow_morning
calendar,info,latest,all,7d
calendar,info,latest,all,30d
calendar,info,latest,all,3m
calendar,info,latest,all,1y
reminders,info,count,relative,today
reminders,info,count,relative,today_morning
reminders,info,count,relative,today_day
reminders,info,count,relative,today_afternoon
reminders,info,count,relative,today_evening
reminders,info,count,relative,tomorrow_morning
reminders,info,count,relative,7d
reminders,info,count,relative,30d
reminders,info,count,relative,3m
reminders,info,count,relative,1y
reminders,info,count,absolute,today
reminders,info,count,absolute,today_morning
reminders,info,count,absolute,today_day
reminders,info,count,absolute,today_afternoon
reminders,info,count,absolute,today_evening
reminders,info,count,absolute,tomorrow_morning
reminders,info,count,absolute,7d
reminders,info,count,absolute,30d
reminders,info,count,absolute,3m
reminders,info,count,absolute,1y
reminders,info,count,all,today
reminders,info,count,all,today_morning
reminders,info,count,all,today_day
reminders,info,count,all,today_afternoon
reminders,info,count,all,today_evening
reminders,info,count,all,tomorrow_morning
reminders,info,count,all,7d
reminders,info,count,all,30d
reminders,info,count,all,3m
reminders,info,count,all,1y
reminders,info,list,relative,today
reminders,info,list,relative,today_morning
reminders,info,list,relative,today_day
reminders,info,list,relative,today_afternoon
reminders,info,list,relative,today_evening
reminders,info,list,relative,tomorrow_morning
reminders,info,list,relative,7d
reminders,info,list,relative,30d
reminders,info,list,relative,3m
reminders,info,list,relative,1y
reminders,info,list,absolute,today
reminders,info,list,absolute,today_morning
reminders,info,list,absolute,today_day
reminders,info,list,absolute,today_afternoon
reminders,info,list,absolute,today_evening
reminders,info,list,absolute,tomorrow_morning
reminders,info,list,absolute,7d
reminders,info,list,absolute,30d
reminders,info,list,absolute,3m
reminders,info,list,absolute,1y
reminders,info,list,all,today
reminders,info,list,all,today_morning
reminders,info,list,all,today_day
reminders,info,list,all,today_afternoon
reminders,info,list,all,today_evening
reminders,info,list,all,tomorrow_morning
reminders,info,list,all,7d
reminders,info,list,all,30d
reminders,info,list,all,3m
reminders,info,list,all,1y
reminders,info,exists,relative,today
reminders,info,exists,relative,today_morning
reminders,info,exists,relative,today_day
reminders,info,exists,relative,today_afternoon
reminders,info,exists,relative,today_evening
reminders,info,exists,relative,tomorrow_morning
reminders,info,exists,relative,7d
reminders,info,exists,relative,30d
reminders,info,exists,relative,3m
reminders,info,exists,relative,1y
